exclusion_record_id,party_id,data_source_id,import_log_id,exclusion_type,exclusion_date,reinstatement_date,waiver_date,waiver_state,status
1,1,1,1,1128a1,2020-03-19,,,,ACTIVE
2,2,1,1,1128b5,2023-05-18,,,,ACTIVE
3,3,1,1,1128b8,2022-03-20,,,,ACTIVE
4,4,1,1,1128a1,1988-08-30,,,,ACTIVE
5,5,1,1,1128b7,1997-06-20,,,,ACTIVE
6,6,1,1,1128b6,2023-02-27,,,,ACTIVE
7,7,1,1,1128a1,2018-04-19,,,,ACTIVE
8,8,1,1,1128b5,2009-03-19,,,,ACTIVE
9,9,1,1,1128a1,1994-05-24,,,,ACTIVE
10,10,1,1,1128b8,2002-09-19,,,,ACTIVE
11,11,1,1,1128a1,2011-08-18,,,,ACTIVE
12,12,1,1,1128b8,2003-07-20,,,,ACTIVE
13,13,1,1,1128b5,1997-09-03,,,,ACTIVE
14,14,1,1,1128a1,2026-06-18,,,,ACTIVE
15,15,1,1,1128a1,1991-07-04,,,,ACTIVE
16,16,1,1,1128b8,1986-12-04,,,,ACTIVE
17,17,1,1,1128a1,2019-06-20,,,,ACTIVE
18,18,1,1,1128a1,1991-12-29,,,,ACTIVE
19,19,1,1,1128b4,1992-09-03,,,,ACTIVE
20,20,1,1,1128a1,1993-04-06,,,,ACTIVE
21,21,1,1,1128b8,2001-07-19,,,,ACTIVE
22,22,1,1,1128a1,1993-02-08,,,,ACTIVE
23,23,1,1,1128a1,2002-09-19,,,,ACTIVE
24,24,1,1,1128a1,2018-04-19,,,,ACTIVE
25,25,1,1,1128b5,1996-02-13,,,,ACTIVE
26,26,1,1,1128b8,2000-03-20,,,,ACTIVE
27,27,1,1,1128a1,1997-07-28,,,,ACTIVE
28,28,1,1,1128b8,2017-05-18,,,,ACTIVE
29,29,1,1,1128b8,2006-09-20,,,,ACTIVE
30,30,1,1,1128a1,1991-01-23,,,,ACTIVE
31,31,1,1,1128b8,2003-02-20,,,,ACTIVE
32,32,1,1,1128a1,2013-03-20,,,,ACTIVE
33,33,1,1,1128a1,2004-05-20,,,,ACTIVE
34,34,1,1,1128a1,2004-07-20,,,,ACTIVE
35,35,1,1,1128b8,2017-05-18,,,,ACTIVE
36,36,1,1,1128b8,2001-06-20,,,,ACTIVE
37,37,1,1,1128b8,1994-08-17,,,,ACTIVE
38,38,1,1,1128a1,1988-11-23,,,,ACTIVE
39,39,1,1,1128b6,1998-06-03,,,,ACTIVE
40,40,1,1,1128b8,1996-07-30,,,,ACTIVE
41,41,1,1,1128b4,2004-11-18,,,,ACTIVE
42,42,1,1,1128a1,2026-07-20,,,,ACTIVE
43,43,1,1,1128b7,1999-11-17,,,,ACTIVE
44,44,1,1,1128a1,1989-08-17,,,,ACTIVE
45,45,1,1,1128b8,2002-10-20,,,,ACTIVE
46,46,1,1,1128a1,2022-08-18,,,,ACTIVE
47,47,1,1,1128b8,2007-11-20,,,,ACTIVE
48,48,1,1,1128a1,2017-07-20,,,,ACTIVE
49,49,1,1,1128b8,1998-04-20,,,,ACTIVE
50,50,1,1,1128b8,1997-08-05,,,,ACTIVE
51,51,1,1,1128b7,1996-07-30,,,,ACTIVE
52,52,1,1,1128a1,1999-10-20,,,,ACTIVE
53,53,1,1,1128b8,1997-07-02,,,,ACTIVE
54,54,1,1,1128b8,2003-03-20,,,,ACTIVE
55,55,1,1,1128b8,1998-03-19,,,,ACTIVE
56,56,1,1,1128a1,2026-01-20,,,,ACTIVE
57,57,1,1,1128a1,2022-03-20,,,,ACTIVE
58,58,1,1,1128a1,2017-06-20,,,,ACTIVE
59,59,1,1,1128b8,2004-04-20,,,,ACTIVE
60,60,1,1,1128b1,1994-03-01,,,,ACTIVE
61,61,1,1,1128b8,2007-08-20,,,,ACTIVE
62,62,1,1,1128b8,1998-01-20,,,,ACTIVE
63,63,1,1,1128b8,2000-05-18,,,,ACTIVE
64,64,1,1,1128a1,1999-08-16,,,,ACTIVE
65,65,1,1,1128a1,1994-08-10,,,,ACTIVE
66,66,1,1,1128b4,2011-08-18,,,,ACTIVE
67,67,1,1,1128b8,1997-02-27,,,,ACTIVE
68,68,1,1,1128Aa,2026-06-24,,,,ACTIVE
69,69,1,1,1128b2,1989-10-18,,,,ACTIVE
70,70,1,1,1128b7,2019-03-26,,,,ACTIVE
71,71,1,1,1128a1,2016-01-20,,,,ACTIVE
72,72,1,1,1128b7,2021-08-16,,,,ACTIVE
73,73,1,1,1128a1,2011-09-20,,,,ACTIVE
74,74,1,1,1128b8,1998-04-20,,,,ACTIVE
75,75,1,1,1128b8,2008-02-15,,,,ACTIVE
76,76,1,1,1128a1,2018-11-20,,,,ACTIVE
77,77,1,1,1128b8,1999-04-20,,,,ACTIVE
78,78,1,1,1128b4,2005-09-20,,,,ACTIVE
79,79,1,1,1128b8,1997-07-10,,,,ACTIVE
80,80,1,1,1128a1,1997-04-15,,,,ACTIVE
81,81,1,1,1128b8,2006-10-19,,,,ACTIVE
82,82,1,1,1128Aa,1989-10-24,,,,ACTIVE
83,83,1,1,1128b8,1997-04-03,,,,ACTIVE
84,84,1,1,1128b8,2004-08-19,,,,ACTIVE
85,85,1,1,1128a1,2023-04-20,,,,ACTIVE
86,86,1,1,1128a1,1994-11-08,,,,ACTIVE
87,87,1,1,1128b7,2015-04-09,,,,ACTIVE
88,88,1,1,1128b4,2015-07-20,,,,ACTIVE
89,89,1,1,1128b8,2001-05-20,,,,ACTIVE
90,90,1,1,1128a1,1988-07-07,,,,ACTIVE
91,91,1,1,1128a1,1989-08-15,,,,ACTIVE
92,92,1,1,1128b8,2017-05-18,,,,ACTIVE
93,93,1,1,1128a1,1992-07-06,,,,ACTIVE
94,94,1,1,1128a1,2014-04-20,,,,ACTIVE
95,95,1,1,1128a1,2009-06-18,,,,ACTIVE
96,96,1,1,1128Aa,1997-10-18,,,,ACTIVE
97,97,1,1,1128b7,1998-09-24,,,,ACTIVE
98,98,1,1,1128b8,2014-07-20,,,,ACTIVE
99,99,1,1,1128a1,1992-12-10,,,,ACTIVE
100,100,1,1,1128a1,2014-08-20,,,,ACTIVE
101,101,1,1,1128a1,1998-05-20,,,,ACTIVE
102,102,1,1,1128a1,2016-10-20,,,,ACTIVE
103,103,1,1,1128a1,2007-10-18,,,,ACTIVE
104,104,1,1,1128b8,2007-10-18,,,,ACTIVE
105,105,1,1,1128b8,2002-02-20,,,,ACTIVE
106,106,1,1,1128b8,2007-08-20,,,,ACTIVE
107,107,1,1,1128a1,1993-05-27,,,,ACTIVE
108,108,1,1,1128b7,1996-12-19,,,,ACTIVE
109,109,1,1,1128a1,2011-09-20,,,,ACTIVE
110,110,1,1,1128b8,1999-02-14,,,,ACTIVE
111,111,1,1,1128b8,2006-06-20,,,,ACTIVE
112,112,1,1,1128b8,2007-02-20,,,,ACTIVE
113,113,1,1,1128b8,1998-01-20,,,,ACTIVE
114,114,1,1,1128b8,2001-07-19,,,,ACTIVE
115,115,1,1,1128b7,2002-09-27,,,,ACTIVE
116,116,1,1,1128b8,1998-10-20,,,,ACTIVE
117,117,1,1,1128a1,2016-07-20,,,,ACTIVE
118,118,1,1,1128a1,2024-06-20,,,,ACTIVE
119,119,1,1,1128b8,2003-10-20,,,,ACTIVE
120,120,1,1,1128a3,2026-05-20,,,,ACTIVE
121,121,1,1,1128a1,2000-07-20,,,,ACTIVE
122,122,1,1,1128b8,2004-10-20,,,,ACTIVE
123,123,1,1,1128b8,1999-12-20,,,,ACTIVE
124,124,1,1,1128b8,2004-10-20,,,,ACTIVE
125,125,1,1,1128b8,2000-05-18,,,,ACTIVE
126,126,1,1,1128a1,2021-10-29,,,,ACTIVE
127,127,1,1,1128b8,1999-11-18,,,,ACTIVE
128,128,1,1,1128b7,1998-12-14,,,,ACTIVE
129,129,1,1,1128b8,2001-01-18,,,,ACTIVE
130,130,1,1,1128a1,2025-02-20,,,,ACTIVE
131,131,1,1,1128a1,1999-10-20,,,,ACTIVE
132,132,1,1,1128a1,1987-08-18,,,,ACTIVE
133,133,1,1,1128Aa,2026-06-22,,,,ACTIVE
134,134,1,1,1128b8,2022-03-20,,,,ACTIVE
135,135,1,1,1128b7,2016-12-16,,,,ACTIVE
136,136,1,1,1128a1,1999-01-20,,,,ACTIVE
137,137,1,1,1128b8,1993-07-14,,,,ACTIVE
138,138,1,1,1128b8,2003-04-20,,,,ACTIVE
139,139,1,1,1128b8,1992-05-28,,,,ACTIVE
140,140,1,1,1128a1,2025-06-19,,,,ACTIVE
141,141,1,1,1128b8,2017-06-20,,,,ACTIVE
142,142,1,1,1128a1,1991-03-17,,,,ACTIVE
143,143,1,1,1128b5,1997-01-07,,,,ACTIVE
144,144,1,1,1128a1,1997-07-08,,,,ACTIVE
145,145,1,1,1128b8,2001-07-13,,,,ACTIVE
146,146,1,1,1128a1,1990-04-24,,,,ACTIVE
147,147,1,1,1128b5,2024-01-18,,,,ACTIVE
148,148,1,1,1128Aa,1997-12-01,,,,ACTIVE
149,149,1,1,1128b7,2023-10-17,,,,ACTIVE
150,150,1,1,1128b7,2016-12-16,,,,ACTIVE
151,151,1,1,1128Aa,2026-06-19,,,,ACTIVE
152,152,1,1,1128a1,2020-10-20,,,,ACTIVE
153,153,1,1,1128b8,2007-11-20,,,,ACTIVE
154,154,1,1,1128b7,1980-03-07,,,,ACTIVE
155,155,1,1,1128b5,2012-03-20,,,,ACTIVE
156,156,1,1,1128b8,2006-12-20,,,,ACTIVE
157,157,1,1,1128b8,2003-04-20,,,,ACTIVE
158,158,1,1,1128a1,1992-02-27,,,,ACTIVE
159,159,1,1,1128b7,2004-08-10,,,,ACTIVE
160,160,1,1,1128b7,2009-12-07,,,,ACTIVE
161,161,1,1,1128a3,2007-09-20,,,,ACTIVE
162,162,1,1,1128b8,1996-02-15,,,,ACTIVE
163,163,1,1,1128b8,1999-03-18,,,,ACTIVE
164,164,1,1,1128b7,2020-07-20,,,,ACTIVE
165,165,1,1,1128b8,2004-04-20,,,,ACTIVE
166,166,1,1,1128b5,1992-09-13,,,,ACTIVE
167,167,1,1,1128a1,2022-09-20,,,,ACTIVE
168,168,1,1,1128b8,2018-11-20,,,,ACTIVE
169,169,1,1,1128b8,2009-12-20,,,,ACTIVE
170,170,1,1,1128b8,2002-04-18,,,,ACTIVE
171,171,1,1,1128b8,1992-11-04,,,,ACTIVE
172,172,1,1,1128b8,1999-07-20,,,,ACTIVE
173,173,1,1,1128b8,2004-01-20,,,,ACTIVE
174,174,1,1,1128b6,1979-03-06,,,,ACTIVE
175,175,1,1,1128b8,2002-10-20,,,,ACTIVE
